"id","state","year","count","rate"
"35","New Mexico",2010,3224,151.2
"35","New Mexico",2011,3333,150.3
"35","New Mexico",2012,3352,147.8
"35","New Mexico",2013,3425,147.1
"35","New Mexico",2014,3424,143.3
"35","New Mexico",2015,3508,142.4
"36","New York",1999,58987,306.1
"36","New York",2000,57474,293.8
"36","New York",2001,56643,284.9
"36","New York",2002,56672,281.4
"36","New York",2003,55276,270.9
"36","New York",2004,52480,254.6
"36","New York",2005,51985,248.3
"36","New York",2006,50470,238.2
"36","New York",2007,49528,230.4
"36","New York",2008,49324,225.8
"36","New York",2009,47283,213.2
"36","New York",2010,44981,200
"36","New York",2011,44501,193.8
"36","New York",2012,43795,186.5
"36","New York",2013,44039,184.8
"36","New York",2014,43116,178.3
"36","New York",2015,44450,181.6
"37","North Carolina",1999,19191,260.9
"37","North Carolina",2000,19723,264.5
"37","North Carolina",2001,18792,246.1
"37","North Carolina",2002,18524,237.6
"37","North Carolina",2003,18674,233.3
"37","North Carolina",2004,17607,215.2
"37","North Carolina",2005,17765,211.7
"37","North Carolina",2006,17271,197.6
"37","North Carolina",2007,17395,193
"37","North Carolina",2008,17335,186.4
"37","North Carolina",2009,17203,179.7
"37","North Carolina",2010,17154,174.9
"37","North Carolina",2011,17003,167.9
"37","North Carolina",2012,17348,166.1
"37","North Carolina",2013,17830,165.3
"37","North Carolina",2014,17592,158.7
"37","North Carolina",2015,18474,162.4
"38","North Dakota",1999,1833,234.2
"38","North Dakota",2000,1679,212.8
"38","North Dakota",2001,1700,212.3
"38","North Dakota",2002,1623,203.1
"38","North Dakota",2003,1632,201.8
"38","North Dakota",2004,1470,178
"38","North Dakota",2005,1512,181.3
"38","North Dakota",2006,1527,182
"38","North Dakota",2007,1414,165.9
"38","North Dakota",2008,1391,160.8
"38","North Dakota",2009,1431,165.8
"38","North Dakota",2010,1395,158
"38","North Dakota",2011,1290,144.6
"38","North Dakota",2012,1368,151.6
"38","North Dakota",2013,1382,150.7
"38","North Dakota",2014,1381,149.2
"38","North Dakota",2015,1323,142.4
"39","Ohio",1999,33192,285.7
"39","Ohio",2000,32722,279.2
"39","Ohio",2001,32453,273.5
"39","Ohio",2002,31388,261.2
"39","Ohio",2003,30667,251.2
"39","Ohio",2004,29078,235.8
"39","Ohio",2005,29003,231.9
"39","Ohio",2006,27886,218.5
"39","Ohio",2007,26757,205.7
"39","Ohio",2008,27324,206.9
"39","Ohio",2009,25453,190
"39","Ohio",2010,26164,192.4
"39","Ohio",2011,26298,190
"39","Ohio",2012,26426,187.7
"39","Ohio",2013,26878,187.9
"39","Ohio",2014,27000,186.4
"39","Ohio",2015,28069,191.7
"40","Oklahoma",1999,11263,316.1
"40","Oklahoma",2000,11297,315
"40","Oklahoma",2001,10840,301.6
"40","Oklahoma",2002,11230,311.3
"40","Oklahoma",2003,11061,304.9
"40","Oklahoma",2004,10335,283.2
"40","Oklahoma",2005,10043,272.4
"40","Oklahoma",2006,9798,260.1
"40","Oklahoma",2007,9602,251.1
"40","Oklahoma",2008,9767,252
"40","Oklahoma",2009,9202,232.6
"40","Oklahoma",2010,9426,235.2
"40","Oklahoma",2011,9399,228.8
"40","Oklahoma",2012,9198,220.4
"40","Oklahoma",2013,9721,228.5
